gazete_adi,url,il
HABERLER-İstanbul,https://www.haberler.com/istanbul/,İstanbul
SONDAKİKA-İstanbul,https://www.sondakika.com/istanbul/,İstanbul
ABC Gazetesi,https://abcgazetesi.com/,İstanbul
Açık Gazete,https://acikgazete.com/,İstanbul
Agos Gazetesi,https://www.agos.com.tr/,İstanbul
Analiz Gazetesi,https://www.analizgazetesi.com.tr/,İstanbul
Artı Gerçek,https://artigercek.com/,İstanbul
Aydınses,https://www.aydinses.com/,İstanbul
Bizim Anadolu,https://www.bizimanadolu.com.tr/,İstanbul
Bülten İstanbul,https://www.bultenistanbul.com/,İstanbul
Canlı Haber,https://www.canlihaber.com/,İstanbul
Çekmeköy Haber,https://www.cekmekoyhaber.com.tr/,İstanbul
Damga Gazetesi,https://www.gazetedamga.com.tr/,İstanbul
Dik Gazete,https://www.dikgazete.com/,İstanbul
Dokuz8 Haber,https://www.dokuz8haber.net/,İstanbul
Dost Beykoz,https://www.dostbeykoz.com/,İstanbul
Flaş Haber,https://www.flashaber.com.tr/,İstanbul
Gazete 365,https://www.gazete365.com/,İstanbul
Gazete Hür,https://gazetehur.com/,İstanbul
Gazete Dakika,https://gazetedakika.com.tr/,İstanbul
Gazete Kadıköy,https://www.gazetekadikoy.com.tr/,İstanbul
Gazete Pazar,https://www.gazetepazar.com.tr/,İstanbul
Gazete Pencere,https://www.gazetepencere.com/,İstanbul
Gazete Yazıyor,https://www.gazeteyaziyor.com.tr/,İstanbul
Gündem Gazetesi,https://www.istanbulgundem.net/,İstanbul
Haberdar,https://www.haberdar.com.tr/,İstanbul
Haberler Türkiye,https://www.haberlerturkiye.com.tr/,İstanbul
Hür Haber,https://www.silivrihurhaber.com/,İstanbul
Hür İstanbul Haber,https://www.huristanbulhaber.com/,İstanbul
Hürses Gazetesi,https://www.hurses.com.tr/,İstanbul
İlçem Gazetesi,https://www.ilcemhaber.com/,İstanbul
İstanbul 34 Gazetesi,https://istanbul34gazetesi.com/,İstanbul
İstanbul Gazetesi,https://www.istanbulgazetesi.com.tr/,İstanbul
İstanbul Haber Ajansı,https://www.istanbulhaber.com.tr/,İstanbul
İstanbul Ses,https://www.istanbulses.com/,İstanbul
İstanbul Times,https://www.istanbultimes.com.tr/,İstanbul
İstanbul'un Gazetesi,https://istanbulungazetesi.com/,İstanbul
İstiklal Gazetesi,https://www.istiklal.com.tr/,İstanbul
İttifak Gazetesi,https://www.ittifakgazetesi.com/,İstanbul
Kartal 24,https://www.kartal24.com/,İstanbul
Kısa Dalga,https://kisadalga.net/,İstanbul
Klavye Haber,https://www.klavyehaber.com/,İstanbul
Maltepe Express,https://www.maltepeekspress.com/,İstanbul
N Gazete,https://www.ngazete.com/,İstanbul
Ogün Haber,https://www.ogunhaber.com/,İstanbul
Özgür İfade,https://www.ozgurifade.com.tr/,İstanbul
Özgür İstanbul,https://www.ozguristanbul.com.tr/,İstanbul
Paşavizyon,https://www.pasavizyon.com/,İstanbul
Sarıyer Gazetesi,https://www.sariyergazetesi.com/,İstanbul
Sarıyer Manşet,https://www.sariyermanset.com/,İstanbul
Sarıyer Posta,https://www.sariyerposta.com/,İstanbul
Son-An Gazetesi,https://www.sonangazetesi.com/,İstanbul
Son Saat Gazetesi,https://www.sonsaat.com.tr/,İstanbul
Şalom,https://www.salom.com.tr/,İstanbul
Tünaydın Gazetesi,https://www.tunaydingazetesi.com/,İstanbul
Türkiye Gazetesi,https://www.turkiyegazetesi.com.tr/,İstanbul
Yaşam Gazetesi,https://www.yasamgazetesi.net/,İstanbul
Yeni Çağrı,https://www.yenicagri.com/,İstanbul
Yeni Devir,https://www.yenidevir.com.tr/,İstanbul
Yeni Gün Gazetesi,https://www.yenigungazetesi.net/,İstanbul
Yöntem Gazetesi,https://www.yontemgazetesi.com/,İstanbul
Yörünge Haber,https://www.yorungehaber.com/,İstanbul
Yurt Gazetesi,https://www.yurtgazetesi.com.tr/,İstanbul
